Date,Open,High,Low,Close,Adj Close,Volume
2020-01-28,0.039191,0.042871,0.037601,0.041849,0.041849,7076
2020-01-29,0.041867,0.042728,0.035687,0.041298,0.041298,5420
2020-01-30,0.041267,0.042837,0.034030,0.042660,0.042660,6893
2020-01-31,0.042659,0.042684,0.033579,0.034060,0.034060,6926
2020-02-01,0.034060,0.042241,0.033089,0.040252,0.040252,19880
2020-02-02,0.040248,0.043032,0.038863,0.040884,0.040884,10981
2020-02-03,0.040884,0.043659,0.037297,0.039861,0.039861,16432
2020-02-04,0.039861,0.041815,0.036387,0.037439,0.037439,14229
2020-02-05,0.037328,0.043146,0.036548,0.042962,0.042962,14027
2020-02-06,0.042969,0.043475,0.037989,0.042283,0.042283,15454
2020-02-07,0.042283,0.044130,0.039129,0.044074,0.044074,7250
2020-02-08,0.044070,0.044083,0.036023,0.039628,0.039628,17327
2020-02-09,0.039431,0.043351,0.037276,0.043053,0.043053,16430
2020-02-10,0.043071,0.044454,0.036554,0.042869,0.042869,16047
2020-02-11,0.042869,0.044961,0.037033,0.037942,0.037942,12785
2020-02-12,0.037938,0.046757,0.037875,0.042535,0.042535,10173
2020-02-13,0.042615,0.045181,0.038204,0.044750,0.044750,10911
2020-02-14,0.044763,0.047411,0.036670,0.047389,0.047389,22525
2020-02-15,0.047389,0.047569,0.040174,0.042134,0.042134,18408
2020-02-16,0.042134,0.043530,0.039643,0.040306,0.040306,20368
2020-02-17,0.040283,0.042672,0.038587,0.041798,0.041798,13610
2020-02-18,0.041792,0.049888,0.038347,0.049210,0.049210,13984
2020-02-19,0.049108,0.052603,0.043264,0.043311,0.043311,14142
2020-02-20,0.043311,0.052139,0.039988,0.040192,0.040192,8359
2020-02-21,0.040171,0.051081,0.037757,0.047484,0.047484,12300
2020-02-22,0.047487,0.051955,0.037761,0.051196,0.051196,9880
2020-02-23,0.051196,0.051366,0.039616,0.041180,0.041180,11590
2020-02-24,0.041263,0.047121,0.038279,0.042513,0.042513,10328
2020-02-25,0.042509,0.052296,0.041265,0.048421,0.048421,18020
2020-02-26,0.048416,0.048416,0.040915,0.040947,0.040947,17049
2020-02-27,0.040944,0.046588,0.039184,0.039607,0.039607,10949
2020-02-28,0.039692,0.042733,0.035938,0.037566,0.037566,12462
2020-02-29,0.037735,0.042561,0.035625,0.035625,0.035625,17210
2020-03-01,0.035625,0.041984,0.035187,0.038455,0.038455,13557
2020-03-02,0.038451,0.043839,0.037231,0.043748,0.043748,16471
2020-03-03,0.043748,0.043870,0.037306,0.038524,0.038524,18763
2020-03-04,0.038524,0.041334,0.036820,0.040110,0.040110,4042
2020-03-05,0.040114,0.044849,0.038249,0.039823,0.039823,16587
2020-03-06,0.039823,0.043126,0.038690,0.040837,0.040837,12751
2020-03-07,0.040840,0.042747,0.038474,0.041607,0.041607,18351
2020-03-08,0.041611,0.042082,0.034815,0.036780,0.036780,9286
2020-03-09,0.036757,0.037577,0.033019,0.035465,0.035465,12573
